College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
CLG0001,107,6.61,6.28,8,'No',8,8,4,'No'
CLG0002,97,5.52,5.37,8,'No',7,8,0,'No'
CLG0003,109,5.36,5.83,9,'No',3,1,1,'No'
CLG0004,122,5.47,5.75,6,'Yes',1,6,1,'No'
CLG0005,96,7.91,7.69,7,'No',8,10,2,'No'
CLG0006,96,5.26,5.32,7,'No',5,8,0,'No'
CLG0007,123,6.68,6.58,5,'No',7,8,2,'Yes'
CLG0008,111,8.77,8.76,7,'No',3,1,2,'Yes'
CLG0009,92,6.47,6.33,9,'No',7,8,5,'No'
CLG0010,108,8.82,8.6,4,'No',5,9,1,'No'
CLG0011,93,8.73,8.9,2,'Yes',5,6,0,'No'
CLG0012,93,6.23,6.51,8,'No',5,7,4,'No'
CLG0013,103,8.64,9.01,7,'Yes',8,6,1,'No'
CLG0014,71,8.74,8.4,6,'No',0,5,2,'No'
CLG0015,74,6.99,7.31,7,'No',0,1,2,'No'
CLG0016,91,6.05,5.8,3,'No',4,2,3,'No'
CLG0017,84,7.61,7.54,6,'No',0,10,0,'No'
CLG0018,104,9.61,10.01,10,'Yes',9,2,4,'No'
CLG0019,86,8.2,8.15,7,'No',8,9,4,'Yes'
CLG0020,78,5.86,5.56,7,'Yes',3,6,2,'No'
CLG0021,121,8.41,8.07,5,'Yes',1,3,3,'Yes'
CLG0022,96,7.14,7.11,3,'Yes',2,3,3,'No'
CLG0023,101,7.96,8.22,2,'Yes',8,10,0,'No'
CLG0024,78,8.67,9.17,7,'Yes',10,10,2,'Yes'
CLG0025,91,7.57,7.86,4,'Yes',7,2,2,'No'
CLG0026,101,9.07,9.45,2,'No',2,7,2,'No'
CLG0027,82,8.61,8.86,8,'No',7,1,0,'No'
CLG0028,105,8.08,8.48,2,'No',3,1,4,'No'
CLG0029,90,5.75,5.33,6,'Yes',5,10,1,'No'
CLG0030,95,9.18,9.61,4,'Yes',3,3,3,'No'
CLG0031,90,9.68,9.58,9,'Yes',10,1,4,'No'
CLG0032,127,5.68,6.1,5,'No',4,3,1,'No'
CLG0033,99,7.44,7.02,4,'No',9,9,4,'No'
CLG0034,84,6.29,6.51,8,'No',8,7,4,'No'
CLG0035,112,8.77,9.01,3,'Yes',1,9,4,'Yes'
CLG0036,81,8.61,9.11,9,'Yes',8,7,4,'No'
CLG0037,103,5.7,5.97,8,'Yes',2,9,2,'No'
CLG0038,70,9.39,9.27,8,'No',4,3,4,'No'
CLG0039,80,5.9,5.96,10,'Yes',6,7,1,'No'
CLG0040,102,8.99,8.86,5,'No',1,6,1,'No'
CLG0041,111,7.28,6.98,1,'No',3,2,3,'No'
CLG0042,102,6.64,6.39,10,'No',0,6,5,'No'
CLG0043,98,5.79,5.51,9,'No',10,3,0,'No'
CLG0044,95,5.84,5.89,2,'Yes',2,2,1,'No'
CLG0045,77,8.31,8.72,1,'Yes',5,5,1,'No'
CLG0046,89,7.75,8.16,6,'Yes',1,5,1,'No'
CLG0047,93,5.61,5.16,1,'Yes',7,2,1,'No'
CLG0048,115,5.56,5.14,10,'Yes',6,3,0,'No'
CLG0049,105,5.36,5.11,10,'No',2,8,0,'No'
CLG0050,73,8.72,8.48,10,'Yes',0,5,5,'No'
CLG0051,104,8.56,8.15,7,'No',9,8,4,'Yes'
CLG0052,94,5.29,5.18,7,'Yes',3,10,5,'No'
CLG0053,89,7.8,7.89,1,'Yes',3,4,1,'No'
CLG0054,109,5.42,5.5,10,'No',10,4,1,'No'
CLG0055,115,9.52,9.56,5,'No',4,6,3,'Yes'
CLG0056,113,9.54,9.38,3,'No',2,10,3,'Yes'
CLG0057,87,8.49,8.7,2,'No',10,5,3,'No'
CLG0058,95,9.63,9.96,5,'No',1,5,3,'No'
CLG0059,104,9.06,8.91,5,'No',1,9,4,'Yes'
CLG0060,114,9.14,8.73,2,'Yes',7,6,2,'Yes'
CLG0061,92,7.85,7.65,6,'No',6,3,3,'No'
CLG0062,97,6.53,6.17,7,'No',0,4,3,'No'
CLG0063,83,6.09,6.06,1,'No',8,9,0,'No'
CLG0064,82,6.64,6.3,3,'No',2,6,5,'No'
CLG0065,112,8.14,8.1,4,'No',2,8,1,'Yes'
CLG0066,120,5.86,5.58,2,'No',0,7,4,'No'
CLG0067,98,6.29,6.53,10,'Yes',10,1,1,'No'
CLG0068,115,7.34,6.87,5,'Yes',3,1,2,'No'
CLG0069,105,6.17,6.22,4,'No',9,10,4,'No'
CLG0070,90,7.94,7.61,2,'No',10,7,2,'No'
